gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000006125,150.61,152.08,145.07,163.01,181.4,129.58,167.98,89.43,99.6
ENSG00000006128,2.29,0.27,0.16,0.0,0.07,0.0,0.0,2.41,0.42
ENSG00000006194,19.19,26.78,21.75,21.03,23.17,13.08,16.06,10.77,11.3
ENSG00000006210,0.77,0.8,0.3,0.51,1.82,1.29,1.25,1.37,2.32
ENSG00000006282,8.64,9.24,24.38,40.87,43.73,33.79,34.37,30.33,33.02
ENSG00000006283,1.53,1.39,0.97,1.0,2.19,14.53,6.27,3.24,2.83
ENSG00000006327,46.6,45.23,12.56,24.97,42.37,36.75,124.49,106.85,99.02
ENSG00000006377,0.0,0.09,0.31,2.4,1.06,0.13,0.03,0.0,0.0
ENSG00000006432,7.94,8.53,4.53,3.19,3.74,3.16,4.19,2.58,2.14
ENSG00000006451,94.93,47.06,40.31,38.54,55.09,26.83,27.78,25.29,24.88
ENSG00000006453,27.54,25.15,44.83,118.35,73.35,32.05,41.76,10.43,7.36
ENSG00000006459,5.75,5.3,13.73,11.68,6.33,3.5,2.9,2.74,1.9
ENSG00000006468,76.88,25.54,18.4,23.93,11.61,42.1,51.76,117.14,97.64
ENSG00000006530,28.57,17.95,27.26,28.1,17.75,25.23,27.73,23.17,23.04
ENSG00000006534,0.14,0.23,0.44,2.14,4.92,1.82,1.69,3.47,9.33
ENSG00000006555,0.33,0.02,0.07,0.07,0.04,0.09,0.0,0.0,0.25
ENSG00000006576,19.83,8.43,13.25,27.22,49.99,28.93,55.45,43.31,44.41
ENSG00000006606,6.5,1.46,0.15,0.16,0.3,0.0,0.0,0.17,0.34
ENSG00000006607,16.67,31.81,29.25,21.45,17.28,25.63,32.27,16.65,19.29
ENSG00000006611,1.04,0.34,0.55,0.06,0.85,0.38,0.5,2.09,4.54
ENSG00000006625,146.65,65.53,65.64,60.21,55.16,65.38,60.39,45.45,43.41
ENSG00000006634,77.28,44.31,36.95,30.71,24.35,22.55,15.63,9.32,9.2
ENSG00000006638,0.32,1.2,0.38,0.83,0.79,0.71,1.39,1.04,1.6
ENSG00000006652,23.61,18.81,17.67,32.51,58.65,12.82,14.71,18.28,15.45
ENSG00000006659,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0
ENSG00000006695,17.86,17.37,13.07,14.81,30.48,12.83,15.88,15.96,13.05
ENSG00000006704,26.67,32.07,30.77,64.61,99.01,25.44,29.46,26.73,16.74
ENSG00000006712,39.61,47.27,45.3,42.44,41.97,59.75,74.57,60.13,61.46
ENSG00000006715,55.74,34.85,50.9,61.56,38.65,52.87,55.36,58.35,58.58
ENSG00000006740,11.46,7.65,18.04,15.52,25.64,10.52,9.78,5.29,5.89
ENSG00000006744,115.21,68.71,70.27,71.21,60.89,65.07,69.92,51.39,44.59
ENSG00000006747,1.24,0.36,0.11,1.01,2.85,6.98,3.05,1.94,1.23
ENSG00000006756,0.93,3.61,9.15,9.14,8.19,17.06,13.41,14.08,20.74
ENSG00000006757,13.01,18.52,28.41,36.19,34.72,22.43,19.54,15.18,18.34
ENSG00000006788,0.0,0.0,0.03,0.0,0.01,0.01,0.0,0.04,0.06
ENSG00000006831,34.59,39.88,53.47,48.12,36.32,44.65,49.05,36.86,36.54
ENSG00000006837,1.8,3.11,2.59,4.25,5.35,3.66,2.47,1.11,2.63
ENSG00000007001,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.07
ENSG00000007038,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007047,24.15,36.32,44.94,75.6,98.71,43.0,47.81,37.61,34.94
ENSG00000007062,56.65,35.13,27.13,72.11,58.1,19.39,13.93,1.38,3.76
ENSG00000007080,109.88,135.55,106.76,88.75,79.32,74.04,90.61,76.24,63.42
ENSG00000007129,0.46,0.19,0.43,0.83,0.07,0.1,0.21,0.0,0.0
