gene_id,heart41_0,heart41_2,heart41_4,heart41_6,heart41_10,heart41_15,heart41_20,heart41_40
ENSG00000011566,1683,1133,807,789,1168,731,980,991
ENSG00000011590,0,0,1,0,0,0,0,0
ENSG00000011600,0,0,1,0,0,0,0,0
ENSG00000011638,405,209,248,268,350,159,154,674
ENSG00000011677,265,91,65,25,0,0,2,0
ENSG00000012048,1015,1930,930,888,233,711,493,303
ENSG00000012061,836,470,1303,1493,1639,1172,1030,1566
ENSG00000012124,1,0,1,0,6,3,75,0
ENSG00000012171,58,55,278,271,348,231,543,1228
ENSG00000012174,323.19,488.05,518.6,657.49,1032.15,680.87,664.04,978.69
ENSG00000012211,146,151,118,112,191,97,136,107
ENSG00000012223,0,1,0,0,0,0,0,0
ENSG00000012232,4068,2959,2173,4748,7059,4537,2527,4032
ENSG00000012504,0,0,0,0,0,0,3,1
ENSG00000012660,5319,4718,3392,3157,3274,1526,2111,1928
ENSG00000012779,40,9,18,14,15,2,1,49
ENSG00000012817,0,0,0,0,0,0,0,3
ENSG00000012822,346,599,2268,1668,2301,1845,1856,3536
ENSG00000012963,1173,1569,1320,1306.18,799,1247,898.34,1023
ENSG00000012983,701,1138,960,1247,1644,821,1074,1456
ENSG00000013016,515,407,476,467,831,675,1114,597
ENSG00000013275,2173,1510,1519,1515,1305,1166,1238,1367
ENSG00000013288,207,213,504,547,535,356,480,1934
ENSG00000013293,43,149,5,18,1,0,18,29
ENSG00000013297,205.41,369.53,13,11.01,20.07,33.88,312.25,306
ENSG00000013306,3539,2149,1996,2171,2382,1496,1274,1479
ENSG00000013364,126,57,71,150,381.08,137.67,502,942
ENSG00000013374,984,1355,1539,1327,1408,836,920,1241
ENSG00000013375,1373,1717,1452,1323,1514,937,1354,1964
ENSG00000013392,144,146,212,244,411,293,327,328
ENSG00000013441,495,720,1568,545,911,661,753,1227
ENSG00000013503,431,564,623,545,723,579,317,606
ENSG00000013523,1230.98,847.06,1060.97,1208.98,1232.17,1073.36,877.47,767.31
ENSG00000013561,345,612,431,714,1575,1072,1215,713.99
ENSG00000013563,271,254,267,276,522,394,399,563
ENSG00000013573,2438.29,1599.13,2216.4,1728.31,850.65,710.75,603,803.03
ENSG00000013583,940,385,417,531,914,661,729,1398
ENSG00000013588,27,7,3,6,122,66,366,555
ENSG00000013619,20,116,23,6,14,4,110,386
ENSG00000013725,5,16,14,5,8,6,49,27
ENSG00000013810,4921,3473,3320,3352,596,2409,1530,1095
ENSG00000014123,530,983,900,934,1560,741,764,1129
ENSG00000014138,644.49,1011.14,741.24,736.02,190.67,610.17,338.01,271.86
ENSG00000014164,625,529,762,573,528,410,393,509
ENSG00000014216,2686,1630,2143,2092,2656,2053,2233,3742
ENSG00000014257,27,38,289,449,783,218,52,62
ENSG00000014641,5489,3403,2636,3970,11672,12400,11145,2986
ENSG00000014824,2027,2194,1618,1701,2111,1501,1296,1321
ENSG00000014914,83,53,71,61,108,24,194,679
ENSG00000014919,998.64,1059.34,1089.85,1098.94,1474.32,1071.43,866.54,792.38
ENSG00000015133,1347,888,739,826,235,12,119,180
ENSG00000015153,19,281,240,355,705,476,494,336
ENSG00000015171,681,883,1173,1347,2068,1440,1727,2788
ENSG00000015285,12,13,9,5,18,13,15,5
ENSG00000015413,88,2,16,25,100,3,90,34
ENSG00000015475,530,234,178,326,342,245,268,436
ENSG00000015479,13427.52,16337.96,12193.17,11621.87,10061.57,9136.35,6851.21,10280.36
ENSG00000015520,8,1,9,4,4,0,0,0
ENSG00000015532,841,455,703,792,1081,679,545,608
ENSG00000015568,663.56,221.53,370,554.73,796.85,48.22,245.66,407.32
ENSG00000015592,0,0,1,0,1,0,0,0
ENSG00000015676,1609,1480,1857,1667,2322,1836,1421,2300
ENSG00000016082,4,65,790,815,385,57,54,609
ENSG00000016391,303,270,309,478,360,304,233,187
ENSG00000016402,59,26,5,2,9,21,10,22
ENSG00000016490,0,0,0,0,0,0,0,0
ENSG00000016602,0,0,1,1,0,0,0,4
ENSG00000016864,708,714,895,877,862,560,733,1191
ENSG00000017260,2646,3021,2375,2082,2451,1593,2124,3015
ENSG00000017427,0,1,0,0,0,2,43,1898
ENSG00000017483,562,204,41,16,5,0,15,23
ENSG00000017797,2741,3101,2508,2562,1893,1520,1572,2241
ENSG00000018189,703,859,760,1096,1031,589,574,570
ENSG00000018236,441,49,231,160,300,165,617,4222
ENSG00000018280,0,0,3,5,4,8,7,4
ENSG00000018408,471,636,875,876,2198,2536,2115,3344
ENSG00000018510,1879,2416,1759,1939,2118,1454,1393,1274
ENSG00000018607,0,0,4,1,3,1,0,1
ENSG00000018610,588.99,514.99,448.99,414,508,338,307.97,477
ENSG00000018625,2812.88,1512.93,1053.41,568.92,1750.12,1797.97,1068,135.98
ENSG00000018699,836,791,571,466,639,314,379,573
ENSG00000018869,48,50,73,59,97,68,44,80
ENSG00000019102,5,6,4,3,4,0,2,8
ENSG00000019144,1768,937,2447,2224,2811,2141,2776,3823
ENSG00000019169,0,0,0,0,0,0,0,0
ENSG00000019186,0,18,2,0,0,0,4,0
ENSG00000019485,327,267,452,557,1109,795,814,2548
ENSG00000019505,842,204,39,39,102,47,313,988.73
ENSG00000019549,25,1398,1117,619,473,52,289,742
ENSG00000019582,678,187,518,650,449,271,321,655
ENSG00000019991,4,5,54,2,12,3,167,1852
ENSG00000019995,970.61,1056.44,1281.67,1509.37,1939.26,1094.09,1079.81,1319.87
ENSG00000020129,835,674,613,473,678,515,551,854
ENSG00000020181,79,126,3049,2848,2352,850,3362,7772
ENSG00000020219,0,0,0,0,0,1,0,0
ENSG00000020256,771,704,610,531,495,304,295,460
ENSG00000020426,518,420,416.59,418,488.63,370,268,269
ENSG00000020577,170,345,312,733,2065,1902,1834,1231
ENSG00000020633,28,70,15,1,6,2,1,1
ENSG00000020922,989,1494,1158,1191,668,574,488,705
ENSG00000021300,202,298,540,204,415,207,292,376
ENSG00000021355,440,650,647,484,705,485,535,229
ENSG00000021461,0,0,1,3,3,0,0,0
ENSG00000021488,2,2,2,2,1,0,3,1
ENSG00000021574,825,750,829,887,1119,622,640,833
ENSG00000021645,58,333,409,90,35,25,54,68
ENSG00000021762,296,304,1051,599,456,376,304,553
ENSG00000021776,3623,3263,2550,2245,2136,1237,1307,1588
ENSG00000021826,481,590,1549,3121,3499,1272,879,812
ENSG00000021852,0,0,1,0,0,0,0,0
ENSG00000022267,1198,743,470,594,591,550,2407,10262
ENSG00000022277,1146.7,1234.65,1350,1362,1778.6,1286.65,1165,1620
ENSG00000022355,30,28,0,0,2,0,3,141
ENSG00000022556,1683.68,539.97,513.99,386,305,245,326,247
ENSG00000022567,695,374,343,439,455,237,269,360
ENSG00000022840,4540,3384,3573,4193,4825,5014,4609,3327
ENSG00000022976,262.1,235,468,270,295,179,179,201
ENSG00000023041,559,745,704,570,390,428,385,533
ENSG00000023171,651,319,451,368,507,677,583,350
ENSG00000023191,720,554,504,637,1325,962,972,2058
ENSG00000023228,2741,2693.51,2335.17,2962.03,5710.11,4672.56,4290,2523.12
ENSG00000023287,2043,2414,1642,1948,2435,1269,1524,1771
ENSG00000023318,888,1252,948,959,1231,581,682,1282
ENSG00000023330,985,767,778,925,2052,1380,1239,743
ENSG00000023445,1,2,4,7,24,10,13,11
ENSG00000023516,1206,1096,1183,1309,2115,1258,1448,2034
ENSG00000023572,105,189,103,115,157,194,223,192
ENSG00000023608,470.92,318.67,232,288,368,174,171.64,212.85
ENSG00000023697,485,886,842,720,483,232,254,337
ENSG00000023734,5460,5307,3512,4075,4854,2885,2889,2727
ENSG00000023839,10,15,22,13,21,4,6,11
ENSG00000023892,157,86,47,38,51,15,12,79
ENSG00000023902,799,1095,1734,1790,1580,1238,1268,1314
ENSG00000023909,346,228,110,101,113,109,98,200
ENSG00000024048,958,1114,1193,1212,1523,1117,1085,1204
ENSG00000024422,450,859,711,425,442,158,900,5918
ENSG00000024526,1310.67,1636,946.97,1182,417,1872.92,1163.98,298
ENSG00000024862,170,158,275,214,105,79,65,107
ENSG00000025039,594,198,391,722,2614,2628,2075,275
ENSG00000025156,482,819,836,1009,1127,674,619.99,575
ENSG00000025293,2517,2607,2461,1945,1620,913,946,1288
ENSG00000025423,80,35,13,13,13,4,3,22
ENSG00000025434,233,160,207,148,174,69,95,138
ENSG00000025708,0,3,21.31,53.6,183.36,126,116.24,42
ENSG00000025770,899,888,1081,952,505,834,553,742
ENSG00000025772,1196,1232,1251,1284,1525,1106,891,1036
ENSG00000025796,2973.95,2771.56,1679.2,1865.93,2637.26,1445.61,1916.8,3539.24
ENSG00000025800,4189.52,4127.37,3439.1,3669.83,3985.33,3240.96,3038.29,2581.34
ENSG00000026025,2687,8195,91631,55049,35324,14109,24167,49824
ENSG00000026036,149.85,120.22,142.18,63.41,66.79,49.57,71.61,163.43
ENSG00000026103,33,17,18,11,25,27,38,87
ENSG00000026297,303.39,134.28,194.54,244.68,224.4,59.56,79.84,316
ENSG00000026508,157,233,83,86,385,128,855,752
ENSG00000026559,551,1078,1035,1126,1048,336,203,132
