gene_id,heart18_0,heart18_2,heart18_4,heart18_6,heart18_10,heart18_15,heart18_20,heart18_40,heart18_60
ENSG00000006831,2370,2231,2570,2362,1944,2709,3065,2354,1670
ENSG00000006837,14.47,18.4,39.61,56.16,32.87,37.74,37.49,22.51,41.03
ENSG00000007001,0,0,0,0,2,0,0,0,0
ENSG00000007038,2,0,0,0,0,0,0,0,0
ENSG00000007047,910,1639,1903,1714,1983,2215,1345,1743,1421
ENSG00000007062,3001,1386.99,1200,2279,3045,1954,306,44,40
ENSG00000007080,1121,1536,1594,1066,881,1122,1289,1054,801
ENSG00000007129,0,1,9,2,5,4,1,3,0
ENSG00000007168,4371,4408.5,3874,4951,4526,5481,6895.65,6459.55,5565
ENSG00000007171,64,14,64,8,7,6,2,0,2
ENSG00000007174,7,39,3,1,2,3,0,2,1
ENSG00000007202,6175,4107,4718,4867,4977,5295,6070,5020,3923
ENSG00000007216,0,0,5,18,2,3,0,0,0
ENSG00000007237,453,1916,781,1268,2763,3590,2993,4781,4613
ENSG00000007255,106,196,581,244,232,260,78,179,87
ENSG00000007264,459,111,91,11,11,2,0,0,1
ENSG00000007306,3,0,0,0,0,0,0,0,0
ENSG00000007312,30,28,16,14,2,10,0,1,0
ENSG00000007314,148,93,128,33,28,34,3,2,10
ENSG00000007341,249,189,275,328,310,352,368,339,344
ENSG00000007350,0,0,0,0,17,4,1,4,1
ENSG00000007372,2,1,0,0,1,2,3,2,34
ENSG00000007376,603,457,428,308,326,359,420,228,202
ENSG00000007384,452,987,668,660,700,628,297,559,542
ENSG00000007392,1656,1225,1569,1159,1169,1058,651,709,660
ENSG00000007402,683,902,973,463,476,421,234,113,99
ENSG00000007516,84,395,445,130,107,55,16,34,16
ENSG00000007520,694,771,941,830,785,846,882,765,665
ENSG00000007541,295.91,673.16,1090.96,724.68,824.06,814.93,466.86,521.76,404.03
ENSG00000007545,848.97,920.48,1297.06,1251.75,1058.24,1141.26,896.41,1245.32,994.57
ENSG00000007866,909,793,1497,2139,1815,1998,2067,2245,1971
ENSG00000007908,0,0,0,3,0,5,8,1,0
ENSG00000007923,2582,2109,1904,1673,1433,1713,2108,1354,1204
ENSG00000007933,1,0,0,0,2,3,0,1,1
ENSG00000007944,356,173,832,1610,4114,1753,678,750,690
ENSG00000007952,0,0,0,0,3,4,37,11,4
ENSG00000007968,164,137,211,98,92,144,221,95,24
ENSG00000008018,2907,3072,2941,2949,1991,2217,2547,1460,1217
ENSG00000008056,494,318,116,122,172.91,298,194,323,218
ENSG00000008083,8983,4538,3405,2123,1090,1034,404,600,382
ENSG00000008086,797,700,787,683,609,568,485,697,513
ENSG00000008118,7,9,31,157,100,63,5,26,15
ENSG00000008128,724.47,577.81,641.12,612.49,465.51,413.93,427.41,371.74,375.28
ENSG00000008130,1275,1334,1752,1306,1418,1123,980,986,852
ENSG00000008196,0,0,2,3,35,7,8,0,0
ENSG00000008197,0,0,0,0,0,0,0,0,0
ENSG00000008226,34,81,150,19,20,25,5,8,25
ENSG00000008256,482,509,707,770,1167,1037,700,1227,1231
ENSG00000008277,730,352,511,368,207,157,120,101,125
ENSG00000008282,1599,1751,1336,1216,1117,1281,1326,1226,1339
ENSG00000008283,561,393,443,158,193,157,153,194,270
ENSG00000008294,2795,2988,1608,2396,2415,3017,2767,2944,2954
ENSG00000008300,1119,1077,822,631,364,326,135,292,202
ENSG00000008311,11520,1787,2057,1651,1313,1157,867,1558,1208
ENSG00000008323,382,296,254,67,101,46,23,0,1
ENSG00000008324,810,414,323,243,123,192,211,133,106
ENSG00000008382,210,435,539,293,285,298,218,249,171
ENSG00000008394,5704,2600,1795,1140,925,771,1663,269,175
ENSG00000008405,898,725,723,1046,609,689,935,753,576
ENSG00000008438,0,0,0,0,0,0,0,0,0
ENSG00000008441,5,10,11,3,38,137,219,2279,4530
ENSG00000008513,240,524,4285,4422,7787,5262,4197,4880,5151
ENSG00000008516,647,756,81,6,5,0,2,5,5
ENSG00000008517,46,16,4,112,73,272,307,184,167
ENSG00000008710,586.66,933.36,1354.31,1394.84,1808.39,2332.67,1813.64,4403.65,4034.03
ENSG00000008735,297,516,145,235,477,179,114,52,62
ENSG00000008838,1830,1643,2448,2136,1697,1886,1842,1716,1502
ENSG00000008853,402,743,715,1176,1576,1830,1282,2792,2234
ENSG00000008869,883,935,796,1047,932,1314,1042,1001,888
ENSG00000008952,3224,2596,2370,3406,2920,3096,3385,2438,2767
ENSG00000008988,15194.76,17649.54,19681,11257.93,12223.95,12106.36,9785.99,11243.94,8593.01
ENSG00000009307,26256,19865,21621,21774,18176,20611,21372,17322,15123
ENSG00000009335,3139,2693,2317,2658,2227,2571,3586,2894,2369
ENSG00000009413,318,547,668,1073,1142.85,1389,1201,1846,1839
ENSG00000009694,119,227,21,15,22,27,7,74,125
ENSG00000009709,0,45,20,6,0,0,0,0,0
ENSG00000009724,9,4,0,3,6,6,1,0,0
ENSG00000009765,0,0,0,2,14,29,2,0,0
ENSG00000009780,283,316.53,261,201,216,209.18,286,329,271
ENSG00000009790,0,0,0,10,6,4,1,3,1
ENSG00000009830,705,638,815,681,777,924,916,767,548
ENSG00000009844,1988,1632,1267,1611,1100,1525,1902,1115,948
ENSG00000009950,105,88,263,42,39,34,1,0,1
ENSG00000009954,5701,4941,4294.95,4827,3556,3734,5069,3655,3271
ENSG00000010017,1351,1483,1667,2390,1962,2291,2451,2041,1628
ENSG00000010030,4,9,0,0,0,3,5,3,7
ENSG00000010072,344,381,385,400,322,389,465,331,320
ENSG00000010165,1791,1037,1044,753,536,681,910,627,545
ENSG00000010219,79.61,29.09,168.48,229.97,348.28,503.67,350.4,408.02,272.03
ENSG00000010244,8358.81,5877,6114,5869,3802,4091,3929.27,2921,2375
ENSG00000010256,2973,3171,2803,2677,2636,3776,5070,3039,2712
ENSG00000010270,930,972,1027,1782,1357,1387,1953,879,583
ENSG00000010278,2461,1977,674,268,1300,407,415,140,160
ENSG00000010282,2,1,0,6.97,40,96,11,379,1654
ENSG00000010292,5752.44,5969,7030,4400,2592.99,2448,3881,2001,1383
ENSG00000010295,282,303,355,445,468,493,340,477,603
ENSG00000010310,14,55,248,307,286,243,82,45,40
ENSG00000010318,101,142,255,127,95,159,133,102,118
ENSG00000010319,115,380,860,58,108,274,51,90,20
ENSG00000010322,1861,3045,4112,4147,4469,4192,2263,3924,3027
ENSG00000010327,10,5,12,39,81,159,9,19,15
ENSG00000010361,200,353,369,226,206,227,234,281,224
ENSG00000010379,4,4,9,17,67,61,51,15,18
ENSG00000010404,708.01,1362.88,2905.93,2661.72,1424.35,1590.56,2102.09,1782.12,1924.09
ENSG00000010438,5,0,0,0,8,5,0,2,0
