gene_id,rep1_d_13,rep1_d_20,rep1_d_30,rep2_d_13,rep2_d_20,rep2_d_30,rep3_d_13,rep3_d_20,rep3_d_30
ENSG00000171621.14,429,832,920,379,856,1316,735,666,74
ENSG00000284652.1,4,2,3,0,2,3,3,0,2
ENSG00000284693.1,4,15,19,12,11,26,21,12,8
ENSG00000252956.1,0,0,0,0,0,0,0,0,0
ENSG00000235263.1,0,0,0,0,0,0,0,0,0
ENSG00000171612.7,323,277,260,454,208,344,363,263,143
ENSG00000231181.1,4,1,1,3,9,2,7,1,3
ENSG00000188807.13,596,543,704,478,418,733,705,405,417
ENSG00000171608.16,257,414,248,158,222,231,307,188,181
ENSG00000179840.5,0,1,0,0,0,0,0,0,0
ENSG00000233268.3,0,0,0,1,0,0,1,0,0
ENSG00000231789.2,72,62,31,30,11,37,116,53,24
ENSG00000171603.18,2903,4332,4958,2186,3820,4815,4410,2854,2469
ENSG00000271264.1,0,0,0,0,0,0,0,0,0
ENSG00000280113.2,0,0,1,3,1,0,0,0,0
ENSG00000178585.15,1639,1273,1314,1117,952,1195,2388,1415,1040
ENSG00000223989.1,0,0,0,0,0,0,0,0,0
ENSG00000285701.1,5,0,10,0,3,3,4,0,12
ENSG00000162441.12,730,833,1628,755,544,1199,859,731,929
ENSG00000228150.1,16,15,10,3,10,11,8,5,15
ENSG00000173614.14,241,234,469,188,181,371,210,254,296
ENSG00000202415.1,2,6,13,2,1,10,8,3,8
ENSG00000283611.2,5,2,14,2,5,3,2,0,7
ENSG00000265521.1,0,4,1,0,0,0,0,0,0
ENSG00000241326.1,0,0,0,0,0,0,0,0,0
ENSG00000162444.12,47,83,20,63,17,24,83,76,36
ENSG00000130939.20,1592,1865,3509,1431,1231,2545,1978,1539,2001
ENSG00000224340.1,0,0,0,0,0,0,0,0,0
ENSG00000233623.2,0,0,0,0,1,2,0,0,0
ENSG00000201746.1,1,0,5,0,0,3,1,1,0
ENSG00000054523.18,3393,3098,6535,2179,2591,5187,3997,2700,3872
ENSG00000264881.1,0,0,0,0,0,0,0,0,0
ENSG00000199562.1,1,0,0,1,0,0,0,0,0
ENSG00000264501.2,0,0,0,0,0,0,0,0,0
ENSG00000284735.1,24,7,13,17,9,11,25,3,17
ENSG00000284642.1,22,13,8,16,10,8,29,3,8
ENSG00000142657.21,3668,3072,4400,3867,1993,4748,4473,2244,2776
ENSG00000271989.1,1,4,0,0,0,0,0,4,0
ENSG00000251503.8,4,3,5,0,3,5,5,0,4
ENSG00000175279.22,36,24,24,39,13,21,35,8,17
ENSG00000241563.4,12,9,16,2,6,9,6,8,6
ENSG00000160049.12,1856,1323,2028,1140,888,1949,1392,890,1007
ENSG00000203469.2,0,0,0,0,0,0,0,0,0
ENSG00000142655.13,573,668,686,567,550,751,572,530,393
ENSG00000287727.1,5,5,10,5,7,5,3,2,13
ENSG00000243267.3,0,0,3,1,2,1,4,0,0
ENSG00000130940.15,496,1345,3331,750,925,2800,1563,1619,2623
ENSG00000272078.1,27,35,60,16,30,44,67,38,68
ENSG00000225158.2,0,0,0,0,0,0,0,0,0
ENSG00000175262.14,4,10,43,1,8,4,6,7,14
ENSG00000215785.2,2,0,2,3,0,0,1,0,0
ENSG00000120948.18,2374,1809,1981,2062,1267,2078,2148,1168,1002
ENSG00000277726.4,0,0,0,0,0,0,0,0,0
ENSG00000009724.17,87,66,85,22,87,57,67,26,49
ENSG00000271895.2,45,38,45,24,38,29,48,15,18
ENSG00000116649.10,772,1836,931,1622,1052,1584,788,1167,378
ENSG00000171824.14,1148,853,928,996,567,836,1205,583,398
ENSG00000226849.1,5,0,2,0,2,1,3,1,1
ENSG00000230337.1,2,7,0,4,1,1,6,9,4
ENSG00000198793.13,1520,2033,3349,1395,1337,2999,2035,1512,2087
ENSG00000225602.5,0,0,2,0,0,0,2,0,0
ENSG00000253086.1,0,0,0,0,0,0,0,0,0
ENSG00000171819.5,6,26,14,23,14,17,65,103,30
ENSG00000207451.1,1,0,1,0,1,0,0,0,0
ENSG00000238173.1,0,0,0,0,0,0,0,0,0
ENSG00000120942.14,437,450,604,430,331,511,487,300,269
ENSG00000238199.1,5,2,3,1,0,0,5,1,3
ENSG00000284646.1,3,0,0,0,0,0,12,0,0
ENSG00000224338.2,0,0,0,3,0,0,0,0,0
ENSG00000204624.8,121,7,16,50,13,16,330,0,1
ENSG00000285833.1,0,0,0,0,0,0,0,0,0
ENSG00000235643.2,0,0,0,0,0,0,0,1,0
ENSG00000284708.1,2,6,1,2,4,0,4,1,1
ENSG00000116661.11,384,1055,473,168,649,574,329,563,224
ENSG00000132879.14,394,539,331,274,388,434,539,403,311
ENSG00000116663.11,80,58,46,49,42,112,98,47,59
ENSG00000116670.15,1111,528,565,621,378,737,1302,418,295
ENSG00000162490.7,351,11,28,45,2,57,1579,6,2
ENSG00000177674.16,570,457,424,413,282,407,779,315,248
ENSG00000215910.7,3,2,0,0,0,0,4,0,0
ENSG00000177553.6,0,1,0,0,0,0,0,0,0
ENSG00000177000.13,608,1025,2106,542,1018,1106,787,1077,1280
ENSG00000011021.23,844,1044,1070,678,751,1010,946,876,659
ENSG00000276470.1,0,0,0,0,0,0,0,0,0
ENSG00000278852.1,0,0,0,0,0,0,0,0,0
ENSG00000175206.10,1616,33183,9802,31395,17801,15180,14486,126274,8010
ENSG00000275915.1,0,0,0,0,0,0,0,0,0
ENSG00000120937.9,4868,24279,2289,43683,9786,13295,9069,94053,1872
ENSG00000224904.1,0,1,0,0,0,2,0,8,0
ENSG00000285646.2,8,29,15,13,9,15,14,16,5
ENSG00000199347.1,0,0,0,0,0,0,0,0,0
ENSG00000201801.1,0,0,0,0,0,2,0,0,0
ENSG00000116685.16,1163,1943,2169,1348,1414,2618,1470,1787,1336
ENSG00000083444.17,1919,5383,6256,2806,5533,10249,2095,4544,2919
ENSG00000287384.1,0,3,4,1,2,6,0,7,1
ENSG00000116688.18,3328,5534,6791,4513,3585,9984,3854,7157,5343
ENSG00000270914.1,0,0,0,0,0,0,1,0,0
ENSG00000116691.11,616,564,358,403,248,783,648,535,196
ENSG00000202461.1,3,6,4,0,3,9,2,0,6
ENSG00000276869.1,0,0,0,0,0,0,0,0,0
ENSG00000243539.3,0,0,0,0,0,0,0,0,0
ENSG00000120949.15,4,2,13,8,7,0,1,1,0
ENSG00000201135.1,0,0,0,2,0,0,1,0,0
ENSG00000227875.2,0,0,0,0,0,0,0,0,0
ENSG00000285604.1,0,0,0,0,0,0,0,0,0
ENSG00000283789.1,0,0,0,0,0,0,0,0,0
ENSG00000028137.19,28,9,22,367,16,5,73,4,11
ENSG00000263676.1,0,0,0,0,0,0,0,0,0
ENSG00000225196.2,0,0,0,0,0,0,0,0,0
ENSG00000252969.1,0,0,0,0,0,0,0,0,0
ENSG00000048707.15,864,1043,4465,549,1114,1984,909,720,1555
ENSG00000239149.1,2,4,11,5,0,0,1,2,4
ENSG00000229484.1,0,0,0,0,0,0,0,0,0
ENSG00000162496.9,372,1213,4193,298,1990,1955,169,461,591
ENSG00000221340.1,1,2,14,2,6,12,0,0,1
ENSG00000276830.1,0,0,16,0,2,3,0,0,0
ENSG00000272482.1,6,41,273,3,63,80,2,11,14
ENSG00000204518.2,0,0,1,0,0,0,0,0,0
ENSG00000226166.2,0,0,0,0,0,0,0,0,0
ENSG00000188984.12,0,0,0,0,0,0,1,0,0
ENSG00000157330.10,4,0,0,3,0,0,2,0,0
ENSG00000116726.5,0,0,0,0,0,0,0,0,0
ENSG00000116721.9,0,0,0,0,0,0,0,0,0
ENSG00000228338.1,0,0,0,0,0,0,0,0,0
ENSG00000239810.3,0,0,0,0,0,0,0,0,0
ENSG00000231103.2,0,0,0,0,0,0,0,0,0
ENSG00000179172.10,1,0,0,1,0,0,1,0,0
ENSG00000120952.4,0,0,0,0,0,0,0,0,0
ENSG00000243073.4,0,0,0,0,0,0,1,0,0
ENSG00000187545.5,0,0,0,0,0,0,1,0,0
ENSG00000204510.5,0,0,0,0,0,0,0,0,0
ENSG00000207434.1,0,0,0,0,0,0,0,0,0
ENSG00000234064.1,0,0,0,0,0,0,0,0,0
ENSG00000232423.6,0,0,0,0,0,0,0,0,0
ENSG00000274178.2,0,0,0,0,0,0,0,0,0
ENSG00000274764.5,0,0,0,0,0,0,0,0,0
ENSG00000277058.2,0,0,0,0,0,0,0,0,0
