gene_id,d0,d2,d4,d6,d10,d15,d20,d40
ENSG00000006468,71.89,44.83,20.44,45.98,130.92,171.98,72.6,51.5
ENSG00000006530,39.55,22.81,31.67,29.37,27.76,25.0,26.09,24.21
ENSG00000006534,0.05,0.59,0.35,0.0,0.34,0.03,0.46,3.44
ENSG00000006555,0.29,0.0,0.14,0.0,0.0,0.0,0.05,0.12
ENSG00000006576,14.7,17.51,15.12,17.5,24.11,29.41,59.61,38.91
ENSG00000006606,15.66,1.56,0.0,0.18,0.0,0.0,0.0,0.0
ENSG00000006607,24.53,20.68,21.14,19.86,20.85,27.14,24.81,29.31
ENSG00000006611,2.31,0.53,0.99,0.53,0.18,0.56,1.41,2.02
ENSG00000006625,118.19,83.07,55.18,66.17,55.47,61.58,54.81,35.14
ENSG00000006634,43.08,66.16,37.08,43.27,25.08,30.49,23.24,17.68
ENSG00000006638,0.29,0.41,0.31,0.04,0.14,0.09,0.84,1.75
ENSG00000006652,23.15,18.63,24.06,22.64,27.31,12.51,14.1,13.47
ENSG00000006659,0.8,0.0,0.0,0.0,0.0,0.11,0.0,0.0
ENSG00000006695,19.19,14.86,13.18,15.94,20.53,13.1,15.95,9.33
ENSG00000006704,45.14,35.43,41.89,59.68,60.02,18.5,33.86,33.0
ENSG00000006712,26.84,36.93,40.69,45.56,38.72,64.73,59.79,47.01
ENSG00000006715,43.21,48.04,75.99,68.95,57.85,57.3,60.18,53.28
ENSG00000006740,14.06,9.87,26.89,18.04,10.8,8.22,6.29,13.43
ENSG00000006744,93.26,74.81,78.0,84.5,80.09,61.68,73.2,68.62
ENSG00000006747,0.57,0.0,0.0,0.46,0.79,0.25,0.26,1.06
ENSG00000006756,4.75,6.01,17.46,16.06,18.5,22.35,19.55,32.0
ENSG00000006757,0.81,1.62,2.24,1.52,1.59,0.99,1.8,1.69
ENSG00000006788,0.0,0.0,0.11,0.03,0.05,0.0,0.02,0.08
ENSG00000006831,35.37,47.0,46.91,55.64,47.12,46.28,46.26,43.22
ENSG00000006837,3.13,3.35,2.72,3.95,6.52,3.56,3.62,2.34
ENSG00000007001,0.0,0.18,0.0,0.0,0.08,0.0,0.0,0.0
ENSG00000007038,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007047,47.39,49.55,49.41,56.2,62.52,38.63,47.96,34.99
ENSG00000007062,54.24,26.8,16.06,26.08,6.2,3.45,5.36,16.49
ENSG00000007080,113.96,117.89,90.54,98.89,64.62,74.44,84.21,70.39
ENSG00000007129,0.4,1.14,0.76,2.62,0.61,1.35,0.06,0.0
ENSG00000007168,136.84,138.32,117.91,123.3,120.82,103.46,123.78,101.79
ENSG00000007171,1.28,0.82,53.8,2.5,0.32,0.06,0.08,0.46
ENSG00000007174,0.76,4.03,1.02,0.17,0.23,0.43,0.15,1.28
ENSG00000007202,57.88,43.95,55.72,63.98,47.01,47.95,53.78,66.38
ENSG00000007216,0.0,0.0,0.0,0.0,0.03,0.0,0.08,0.0
ENSG00000007237,7.68,24.84,19.45,21.44,15.43,13.19,23.22,7.35
ENSG00000007255,41.42,26.28,49.97,34.5,40.02,34.61,18.88,17.11
ENSG00000007264,14.49,2.39,1.54,1.09,1.88,0.5,0.7,0.37
ENSG00000007306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007312,1.79,2.04,1.54,0.36,0.46,0.07,0.33,0.0
ENSG00000007314,4.27,1.49,2.53,2.79,1.73,0.59,0.35,0.01
ENSG00000007341,13.86,14.56,11.14,11.85,13.76,7.86,12.52,15.98
ENSG00000007350,0.0,0.03,0.03,0.0,0.0,0.15,0.07,0.0
ENSG00000007372,0.36,0.41,0.4,0.2,0.92,0.78,0.64,0.24
ENSG00000007376,16.26,12.28,14.7,12.76,11.88,9.54,12.06,14.74
ENSG00000007384,25.92,35.33,23.92,34.15,19.24,9.68,20.46,30.19
ENSG00000007392,77.76,82.67,112.29,111.01,69.69,27.85,47.16,72.09
ENSG00000007402,16.07,10.39,20.07,7.73,9.33,4.29,5.71,5.71
ENSG00000007516,4.03,5.09,4.88,2.9,2.17,2.1,1.03,1.67
ENSG00000007520,44.89,36.44,50.27,47.35,42.61,46.47,43.91,49.86
ENSG00000007541,17.68,19.61,40.28,37.34,24.4,19.84,21.76,25.21
ENSG00000007545,10.46,9.0,16.18,16.22,9.83,9.16,9.55,16.48
ENSG00000007866,22.41,17.57,34.91,50.86,62.63,61.33,67.92,55.16
ENSG00000007908,0.0,0.16,0.0,0.0,0.0,0.0,0.07,0.29
ENSG00000007923,60.14,54.91,52.0,44.99,47.99,36.07,44.1,40.05
ENSG00000007933,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.1
ENSG00000007944,19.71,4.78,8.23,5.69,13.39,10.72,14.33,30.44
ENSG00000007952,0.0,0.0,0.0,0.05,2.26,2.7,1.94,0.0
ENSG00000007968,3.53,2.32,2.44,3.0,0.24,1.99,2.57,2.43
ENSG00000008018,251.1,262.62,180.02,220.51,144.77,136.67,156.03,139.61
ENSG00000008056,13.36,6.53,3.48,7.11,16.26,15.16,12.42,6.19
ENSG00000008083,120.1,40.21,60.96,25.41,12.61,10.36,9.05,6.21
ENSG00000008086,5.87,6.38,4.67,4.88,4.55,2.12,4.42,5.54
ENSG00000008118,2.5,0.72,3.68,6.15,6.53,1.42,2.57,3.65
ENSG00000008128,30.33,29.67,31.57,34.47,18.87,11.56,18.07,21.28
ENSG00000008130,49.77,41.06,42.91,44.46,34.63,23.44,29.44,48.62
ENSG00000008196,0.0,0.0,0.01,0.33,0.55,0.01,0.0,0.0
ENSG00000008197,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008226,0.13,0.04,0.64,0.34,0.32,0.27,0.35,1.18
ENSG00000008256,10.77,10.34,10.93,16.55,16.28,15.21,23.55,59.73
ENSG00000008277,7.67,5.79,8.51,10.9,6.44,5.26,4.43,2.22
ENSG00000008282,62.15,75.49,46.26,47.86,49.43,50.14,44.09,56.92
ENSG00000008283,12.24,4.58,2.76,4.82,1.94,2.6,5.79,6.42
ENSG00000008294,34.88,35.5,27.3,30.07,32.87,33.13,43.65,75.07
ENSG00000008300,14.44,9.75,7.69,8.85,4.3,1.89,3.4,1.8
ENSG00000008311,148.57,45.49,46.87,90.45,55.27,37.87,34.18,31.24
ENSG00000008323,20.21,11.85,4.76,2.31,2.27,0.47,0.88,1.92
ENSG00000008324,62.91,44.4,22.54,24.16,19.95,11.91,13.8,13.53
ENSG00000008382,18.35,21.78,31.5,25.79,16.31,19.05,16.88,20.14
ENSG00000008394,496.2,247.22,133.78,231.77,127.86,133.47,205.41,100.8
ENSG00000008405,24.51,16.68,13.62,25.56,22.6,15.9,21.75,23.27
ENSG00000008438,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
ENSG00000008441,0.12,0.25,0.1,0.36,0.11,0.08,7.31,111.97
ENSG00000008513,5.2,12.63,37.89,41.04,30.18,24.51,65.84,75.03
ENSG00000008516,23.64,8.34,2.45,0.64,0.05,0.04,0.13,0.16
ENSG00000008517,2.18,0.52,0.21,1.41,3.18,4.45,8.24,15.44
ENSG00000008710,23.42,29.46,34.96,31.66,29.37,21.38,37.12,42.7
ENSG00000008735,2.31,2.84,2.53,1.5,1.31,0.66,1.49,2.64
ENSG00000008838,83.62,68.02,131.47,121.46,86.01,87.19,89.75,69.99
ENSG00000008853,8.48,11.45,10.32,18.69,34.88,27.96,26.61,23.51
ENSG00000008869,7.56,9.81,9.96,13.2,10.43,7.78,11.42,9.97
ENSG00000008952,65.7,84.58,104.08,106.7,80.07,47.67,76.95,120.59
ENSG00000008988,1983.23,2026.57,2251.84,1656.9,1252.57,1224.43,1175.77,2037.76
ENSG00000009307,614.94,603.36,612.76,634.36,548.67,464.8,470.71,418.44
ENSG00000009335,37.22,33.21,26.86,30.47,32.72,26.96,34.88,23.17
ENSG00000009413,2.0,7.06,11.52,8.37,9.41,8.87,9.54,8.63
ENSG00000009694,0.36,1.66,0.35,0.18,0.72,0.45,0.8,0.61
ENSG00000009709,0.13,0.52,1.68,0.57,0.02,0.0,0.0,0.0
ENSG00000009724,0.27,0.07,0.0,0.04,0.0,0.0,0.08,0.03
ENSG00000009765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000009780,11.67,8.67,6.46,11.72,7.84,8.7,8.48,6.48
ENSG00000009790,0.07,0.0,0.35,0.19,0.15,0.24,0.19,0.06
ENSG00000009830,25.04,21.04,21.03,19.12,21.33,21.98,23.61,13.6
ENSG00000009844,50.03,77.02,39.18,49.62,49.39,42.71,48.11,43.75
ENSG00000009950,7.83,2.04,3.59,0.69,0.67,0.28,0.33,0.25
ENSG00000009954,53.39,66.36,64.5,56.17,41.94,37.25,50.23,51.11
ENSG00000010017,26.25,36.39,41.45,44.33,43.51,34.34,47.12,32.31
ENSG00000010030,0.87,0.0,0.0,0.0,0.05,0.19,0.33,0.11
ENSG00000010072,7.79,13.06,11.0,11.79,9.48,9.39,10.99,11.43
ENSG00000010165,46.48,33.42,29.32,26.34,19.16,18.19,18.81,20.98
ENSG00000010219,7.11,8.41,18.7,19.5,25.19,31.15,38.74,45.46
ENSG00000010244,180.5,225.52,189.76,157.52,120.31,101.72,118.59,109.79
ENSG00000010256,205.5,137.19,143.85,190.52,223.71,286.4,299.18,125.0
ENSG00000010270,39.61,50.95,48.55,72.31,66.61,73.19,69.34,34.15
ENSG00000010278,162.59,55.54,8.65,4.8,15.54,3.95,17.3,42.15
ENSG00000010282,0.2,0.0,0.0,2.12,28.53,14.18,1.76,2.48
ENSG00000010292,114.48,103.38,103.18,107.89,35.8,71.43,55.42,35.24
ENSG00000010295,7.97,8.17,19.87,15.06,10.23,9.09,14.63,19.71
ENSG00000010310,0.6,1.33,4.97,10.14,11.54,5.61,8.79,0.52
ENSG00000010318,14.61,11.11,15.25,17.79,24.79,20.82,16.13,5.88
ENSG00000010319,1.8,0.79,2.24,1.2,1.99,1.58,2.08,1.8
ENSG00000010322,41.57,50.41,101.14,98.18,69.23,56.47,79.67,87.07
ENSG00000010327,0.51,0.16,0.16,0.76,0.44,0.29,0.18,1.23
ENSG00000010361,17.46,25.75,18.35,30.66,17.16,18.5,22.66,20.44
ENSG00000010379,0.12,0.31,2.08,0.59,2.05,2.63,12.58,6.27
ENSG00000010404,23.99,28.03,25.66,21.37,20.13,12.46,19.29,25.97
ENSG00000010438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010539,5.46,9.63,7.39,5.93,6.49,6.0,7.62,7.58
ENSG00000010610,4.19,0.64,1.59,4.74,9.03,1.55,2.27,3.84
ENSG00000010626,2.67,3.08,5.36,6.55,13.54,8.98,10.58,15.35
ENSG00000010671,0.67,0.58,0.71,0.67,0.1,0.1,0.27,1.24
ENSG00000010704,1.68,0.99,1.24,0.61,1.35,1.6,2.82,8.77
ENSG00000010803,15.42,16.89,82.3,121.24,105.43,124.0,77.49,43.51
ENSG00000010810,91.35,66.92,107.12,90.88,48.41,53.75,46.23,88.07
ENSG00000010818,4.97,2.75,2.63,4.28,8.35,11.43,7.18,2.9
ENSG00000010932,0.0,0.0,0.13,0.0,0.15,0.0,1.44,5.34
ENSG00000011007,34.11,40.11,32.21,32.1,26.54,26.57,34.26,30.0
ENSG00000011009,117.01,77.22,70.61,67.28,56.8,43.87,46.42,34.86
ENSG00000011021,13.07,10.11,14.89,21.06,24.58,15.04,22.68,9.26
ENSG00000011028,14.19,64.02,119.31,64.17,49.68,17.1,50.32,140.17
ENSG00000011052,4.76,0.81,4.24,12.51,13.17,3.9,5.96,0.0
ENSG00000011083,0.15,0.0,0.0,0.06,0.0,0.0,0.04,0.02
ENSG00000011105,22.67,17.89,16.66,22.43,88.17,119.78,112.7,53.55
ENSG00000011114,19.86,19.67,30.69,25.97,20.76,16.94,21.75,22.41
ENSG00000011132,14.49,11.74,16.92,18.09,10.14,9.9,9.91,12.05
ENSG00000011143,17.4,18.89,36.77,27.54,21.45,13.1,14.8,20.98
ENSG00000011198,10.88,10.91,7.95,10.05,7.22,6.69,12.7,13.38
ENSG00000011201,97.41,80.1,20.49,19.39,12.67,8.46,25.83,136.09
ENSG00000011243,128.21,79.12,163.74,162.54,105.65,68.92,78.7,73.12
ENSG00000011258,38.31,34.27,35.86,27.65,23.97,17.26,14.75,20.2
ENSG00000011260,76.96,78.93,41.1,42.86,26.07,10.94,18.51,18.04
ENSG00000011275,20.28,17.79,24.58,23.28,24.09,19.24,25.82,30.76
ENSG00000011295,43.32,44.53,24.26,26.51,35.84,26.6,25.03,20.78
ENSG00000011304,520.07,423.11,415.9,331.91,120.71,61.8,166.3,215.13
ENSG00000011332,5.23,5.58,9.29,9.19,5.3,5.56,6.19,3.49
ENSG00000011347,13.12,5.03,3.2,8.02,13.27,8.91,7.35,1.32
ENSG00000011376,41.45,28.81,25.24,27.77,32.61,29.4,29.15,17.46
ENSG00000011405,47.56,43.88,32.67,36.83,36.63,23.13,29.42,25.68
ENSG00000011422,16.04,16.58,16.62,18.41,6.01,4.76,16.98,11.26
ENSG00000011426,57.08,72.57,55.31,69.43,19.26,113.21,96.37,34.02
ENSG00000011451,26.86,26.48,40.87,36.73,25.98,28.88,29.9,33.45
ENSG00000011454,25.16,23.33,35.08,31.0,38.41,36.1,41.81,40.13
ENSG00000011465,0.67,0.46,1.07,3.33,14.42,8.73,460.23,1436.39
ENSG00000011478,12.31,9.4,5.28,8.37,6.75,5.88,5.25,6.08
ENSG00000011485,104.74,97.12,99.37,95.92,65.43,88.47,83.0,63.11
ENSG00000011523,10.39,14.89,17.03,12.06,8.72,10.06,9.11,14.3
ENSG00000011566,43.14,28.0,22.52,20.74,28.15,18.24,27.56,21.99
ENSG00000011590,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
ENSG00000011600,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
