gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000007384,6.09,26.56,16.05,15.92,18.15,9.13,13.09,8.95,14.39
ENSG00000007392,58.82,71.0,80.74,58.7,52.54,33.93,26.48,20.33,30.19
ENSG00000007402,13.64,13.68,20.21,8.57,17.52,15.62,4.71,3.25,2.48
ENSG00000007516,2.39,5.88,5.68,0.93,2.43,1.92,1.4,1.56,2.89
ENSG00000007520,30.69,62.19,48.99,48.8,45.58,31.17,47.1,38.21,38.52
ENSG00000007541,6.26,18.63,29.23,22.65,17.85,10.37,14.36,10.23,10.38
ENSG00000007545,4.5,7.25,10.37,11.51,9.87,7.66,9.66,9.27,8.57
ENSG00000007866,13.36,17.83,25.55,44.87,77.63,69.19,87.13,58.81,34.96
ENSG00000007908,0.0,0.21,0.83,0.6,0.17,0.08,0.06,0.0,0.02
ENSG00000007923,89.58,49.33,46.31,45.71,51.15,61.48,57.0,33.76,28.36
ENSG00000007933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
ENSG00000007944,14.07,4.09,13.28,7.73,16.98,13.03,11.94,9.04,11.81
ENSG00000007952,0.03,0.0,0.0,0.0,1.53,2.27,0.71,0.04,1.47
ENSG00000007968,1.89,2.15,3.55,1.96,1.38,0.36,2.52,0.62,0.33
ENSG00000008018,206.83,289.49,247.65,272.83,178.5,100.45,157.53,80.34,101.2
ENSG00000008056,20.85,9.29,5.69,12.42,18.87,29.72,15.96,27.98,33.19
ENSG00000008083,114.24,33.5,60.09,29.11,17.25,14.03,6.14,10.44,6.29
ENSG00000008086,5.59,2.64,6.67,4.06,3.78,4.42,3.52,4.78,5.25
ENSG00000008118,1.5,0.81,2.29,8.91,13.16,5.56,1.83,1.25,4.87
ENSG00000008128,42.11,26.38,25.29,23.21,15.37,11.54,17.21,9.11,15.74
ENSG00000008130,30.77,34.95,46.38,40.05,30.91,16.59,21.65,16.32,27.78
ENSG00000008196,0.0,0.0,0.18,0.02,0.11,0.0,0.0,0.0,0.0
ENSG00000008197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008226,0.05,0.41,0.6,0.38,0.39,0.6,0.22,0.27,0.32
ENSG00000008256,8.42,6.79,13.25,14.12,20.65,22.78,16.01,20.93,32.18
ENSG00000008277,14.75,4.23,7.47,8.44,6.01,7.15,1.59,2.83,1.85
ENSG00000008282,41.71,58.07,57.79,52.5,53.51,33.95,49.5,43.91,61.57
ENSG00000008283,5.39,8.13,5.0,3.56,3.6,1.64,3.39,1.4,5.55
ENSG00000008294,45.09,19.02,28.25,40.79,34.01,33.82,32.39,34.85,36.21
ENSG00000008300,6.07,10.06,7.89,4.18,4.52,1.26,2.03,1.09,1.06
ENSG00000008311,138.98,29.16,59.03,61.21,33.36,28.79,26.9,33.55,20.98
ENSG00000008323,7.8,9.71,5.69,1.15,2.78,0.19,0.26,0.05,0.53
ENSG00000008324,48.38,46.32,39.92,22.05,21.12,13.38,11.08,11.75,14.26
ENSG00000008382,9.68,34.65,33.29,25.56,16.95,10.24,13.16,11.66,9.22
ENSG00000008394,540.22,286.84,221.28,209.62,176.12,92.1,241.2,40.94,37.48
ENSG00000008405,17.68,12.12,16.73,22.06,18.7,11.75,16.88,11.86,13.39
ENSG00000008438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008441,0.3,0.16,0.22,0.01,0.29,1.33,0.87,3.62,17.57
ENSG00000008513,3.02,7.01,14.8,50.58,33.53,29.21,53.28,33.43,51.44
ENSG00000008516,11.09,12.22,6.84,0.2,0.27,0.0,0.18,0.17,0.15
ENSG00000008517,0.79,0.87,1.92,0.8,15.08,6.38,3.62,3.34,10.98
