gene_id,rep1_d_13,rep1_d_20,rep1_d_30
ENSG00000261135.1,6,1,0
ENSG00000285853.1,1,0,0
ENSG00000233421.4,14,4,4
ENSG00000219481.10,422,339,859
ENSG00000215908.10,474,192,249
ENSG00000186301.8,24,13,9
ENSG00000282143.1,3,0,0
ENSG00000280114.1,4,0,0
ENSG00000236698.1,119,128,169
ENSG00000268869.6,21,10,10
ENSG00000279151.1,1,0,0
ENSG00000282740.1,1,0,1
ENSG00000058453.17,958,415,620
ENSG00000227684.2,0,1,15
ENSG00000186715.11,51,15,18
ENSG00000228549.4,44,32,72
ENSG00000238142.2,52,30,12
ENSG00000207005.1,0,2,2
ENSG00000272426.1,3,5,1
ENSG00000117122.14,1328,948,2297
ENSG00000226526.1,0,0,2
ENSG00000159363.19,650,1411,1591
ENSG00000117118.10,733,999,875
ENSG00000117115.13,49,795,94
ENSG00000204362.6,0,5,1
ENSG00000142623.11,17,23,10
ENSG00000142619.4,8,2,0
ENSG00000179051.14,4053,3412,2096
ENSG00000074964.17,807,1088,1615
ENSG00000117148.8,0,1,0
ENSG00000117154.12,44,0,0
ENSG00000225387.1,0,2,0
ENSG00000179023.8,24,19,5
ENSG00000009709.12,165,0,0
ENSG00000179002.5,0,2,0
ENSG00000159423.17,1314,1178,2385
ENSG00000221662.1,1,0,2
ENSG00000169991.11,478,800,363
ENSG00000272084.1,11,24,45
ENSG00000127481.15,5331,6306,20333
ENSG00000230424.1,10,5,14
ENSG00000127463.15,1186,2272,2215
ENSG00000053372.5,901,821,557
ENSG00000286064.1,2,7,8
ENSG00000211454.15,31,14,6
ENSG00000162482.5,24,7,13
ENSG00000270728.1,85,34,69
ENSG00000053371.12,876,728,905
ENSG00000200403.1,7,3,3
ENSG00000040487.13,382,572,465
ENSG00000077549.19,3983,4357,5934
ENSG00000240490.3,1,0,0
ENSG00000173436.15,102,130,128
ENSG00000235185.1,0,4,0
ENSG00000158747.15,348,138,432
ENSG00000226396.1,17,10,7
ENSG00000158748.4,2,0,0
ENSG00000162542.13,39,27,49
ENSG00000169914.6,599,526,556
ENSG00000188257.11,1,1,2
ENSG00000127472.11,0,0,3
ENSG00000158786.5,1,0,0
ENSG00000187980.6,0,0,2
ENSG00000225986.1,4,11,0
ENSG00000162543.6,30,24,9
ENSG00000158816.15,24,0,0
ENSG00000236963.7,1,0,2
ENSG00000162545.6,477,140,148
ENSG00000090432.7,520,779,915
ENSG00000183114.8,14,8,25
ENSG00000158825.6,9,0,4
ENSG00000158828.8,415,590,1494
ENSG00000117242.7,70,149,178
ENSG00000244038.11,4208,7094,4190
ENSG00000117245.12,140,41,57
ENSG00000235432.1,0,2,0
ENSG00000189410.12,124,39,13
ENSG00000233069.1,0,0,1
ENSG00000127483.19,3282,3615,3299
ENSG00000075151.20,2101,3743,4255
ENSG00000221808.1,0,0,4
ENSG00000287192.1,0,1,4
ENSG00000117298.16,2632,5614,6668
ENSG00000236936.1,0,0,2
ENSG00000231105.2,11,3,1
ENSG00000227001.3,11,7,5
ENSG00000187952.9,2,7,1
ENSG00000186543.7,2,0,0
ENSG00000142794.18,292,225,458
ENSG00000162551.14,414,49,35
ENSG00000076864.19,231,242,219
ENSG00000090686.16,1190,1720,2460
ENSG00000231978.2,1,0,0
ENSG00000187942.12,6,18,14
ENSG00000142798.20,8142,39918,36009
ENSG00000232037.3,0,0,1
ENSG00000273610.1,1,0,0
ENSG00000278124.1,0,1,3
ENSG00000228397.3,0,1,0
ENSG00000218510.8,85,34,33
ENSG00000070831.17,5010,6036,7618
ENSG00000285752.1,24,10,13
ENSG00000230068.2,0,0,7
ENSG00000271428.1,8,3,2
ENSG00000162552.15,229,107,49
ENSG00000285873.1,5,2,1
ENSG00000234397.3,0,0,1
ENSG00000184677.18,804,705,1073
ENSG00000237200.1,1,5,8
ENSG00000070886.12,12,0,2
ENSG00000173372.17,1,0,0
ENSG00000133216.16,1070,2121,1790
ENSG00000225952.1,0,1,0
ENSG00000227868.6,2,0,0
ENSG00000004487.17,5453,3143,3864
ENSG00000240553.1,3,0,0
ENSG00000266802.1,1,0,0
ENSG00000169641.13,1823,2520,3417
ENSG00000229010.1,1,0,4
ENSG00000206935.1,0,1,0
ENSG00000252578.1,0,1,1
ENSG00000179546.4,15,5,17
ENSG00000261326.4,207,75,105
ENSG00000284726.1,17,3,5
ENSG00000125944.21,5413,3233,3865
ENSG00000125945.15,325,897,3235
ENSG00000249087.7,271,61,70
ENSG00000271420.1,3,4,12
ENSG00000204219.11,301,216,1138
ENSG00000088280.19,1175,1093,1920
ENSG00000007968.7,133,116,193
ENSG00000235052.1,9,2,2
ENSG00000117318.9,4545,884,618
ENSG00000285802.1,3,8,0
ENSG00000197880.9,0,0,2
ENSG00000142676.14,18166,9683,10947
ENSG00000236810.6,41,15,26
ENSG00000011007.12,824,1227,1370
ENSG00000057757.10,909,696,826
ENSG00000011009.11,1960,1576,922
ENSG00000117308.15,593,635,541
ENSG00000117305.15,567,462,411
ENSG00000179163.12,214,461,273
ENSG00000188822.8,0,0,4
ENSG00000232557.3,0,0,1
ENSG00000189266.13,2397,1601,2264
ENSG00000188529.15,3055,2571,3493
ENSG00000142661.19,11,7,25
ENSG00000142677.4,0,9,0
ENSG00000185436.12,149,206,264
ENSG00000158055.16,75,13,1
ENSG00000001460.18,135,123,104
ENSG00000001461.17,309,1271,1545
ENSG00000286061.1,0,1,0
ENSG00000117602.12,196,212,270
ENSG00000264443.1,5,0,0
ENSG00000184454.7,5,1,2
ENSG00000133226.17,3542,2581,2390
ENSG00000169504.15,7047,11894,27664
ENSG00000020633.19,2,2,19
ENSG00000278034.1,0,0,1
ENSG00000117614.10,740,597,885
ENSG00000284602.1,44,33,42
ENSG00000284657.1,6,6,6
ENSG00000117616.18,1181,2890,653
ENSG00000272432.1,10,6,3
ENSG00000261349.1,12,18,13
ENSG00000187010.21,23,7,16
ENSG00000224183.1,15,15,26
ENSG00000259984.1,3,0,6
ENSG00000183726.11,1311,2353,1692
ENSG00000188672.19,14,23,15
ENSG00000238084.4,0,2,0
ENSG00000204178.11,476,853,821
ENSG00000157978.12,341,509,561
ENSG00000225643.1,12,0,4
ENSG00000117643.14,743,1332,4499
ENSG00000233478.1,3,0,2
ENSG00000162430.17,3048,4334,4923
ENSG00000228172.5,9,19,21
ENSG00000117640.18,1015,1554,1605
ENSG00000127423.11,105,61,53
ENSG00000236528.1,2,1,0
ENSG00000182749.6,190,210,296
ENSG00000117632.23,8069,9329,4941
ENSG00000229786.1,0,3,0
ENSG00000158006.14,236,401,389
ENSG00000158008.10,172,1056,1320
ENSG00000158014.15,3,65,8
ENSG00000158022.7,217,990,4823
ENSG00000175087.10,180,182,206
ENSG00000197245.6,143,181,105
ENSG00000282872.2,3,1,0
ENSG00000236782.7,31,11,9
ENSG00000142675.18,269,237,118
ENSG00000188782.9,5,0,0
ENSG00000236155.6,18,4,2
ENSG00000130695.15,765,514,721
ENSG00000270733.1,1,2,13
ENSG00000142669.15,478,1642,448
ENSG00000158062.20,469,153,236
ENSG00000169442.9,7,0,0
ENSG00000176092.15,147,15,1
ENSG00000225854.2,2,1,0
ENSG00000176083.18,1,0,1
ENSG00000131914.11,11501,167,6
ENSG00000117682.17,585,1076,862
ENSG00000223583.1,2,2,1
ENSG00000225891.2,15,3,8
ENSG00000198830.11,5067,4056,6307
ENSG00000117676.14,563,331,169
ENSG00000260063.1,17,32,49
ENSG00000117713.20,4166,5164,9194
ENSG00000060642.11,165,140,192
ENSG00000241188.3,1,0,0
ENSG00000204160.12,953,762,569
ENSG00000175793.12,44,7,1
ENSG00000142751.15,565,800,801
ENSG00000198746.13,233,198,330
ENSG00000090273.14,1835,1770,2264
ENSG00000131910.5,3,1,5
ENSG00000175707.9,137,1,5
ENSG00000253368.4,421,927,660
ENSG00000158246.8,361,393,249
ENSG00000090020.11,442,840,1072
ENSG00000214973.3,7,9,4
ENSG00000225159.1,3,2,0
ENSG00000224311.1,0,0,6
ENSG00000142784.16,1375,1458,2759
ENSG00000243659.1,1,0,9
ENSG00000186501.14,558,818,619
ENSG00000206888.1,5,1,5
ENSG00000241547.1,10,5,10
ENSG00000142765.18,269,97,41
ENSG00000142733.17,277,332,373
ENSG00000142748.13,29,1,4
ENSG00000174950.11,11,1,0
ENSG00000181773.7,90,30,21
ENSG00000158195.11,2525,2630,3710
ENSG00000237429.1,16,0,5
ENSG00000126705.15,1692,2042,3108
ENSG00000000938.13,2,0,2
ENSG00000235912.1,16,51,3
ENSG00000233975.1,1,0,0
ENSG00000126709.15,178,517,1041
ENSG00000225886.3,0,1,0
ENSG00000009780.16,157,94,260
ENSG00000117758.14,600,1127,893
ENSG00000269971.1,0,1,0
ENSG00000270031.1,1,5,0
ENSG00000286433.1,0,0,2
ENSG00000117751.18,1003,925,846
ENSG00000252947.1,1,0,4
ENSG00000130775.16,54,8,4
ENSG00000117748.10,718,476,663
ENSG00000130768.15,106,233,201
ENSG00000227050.1,0,0,1
ENSG00000158156.9,256,353,261
ENSG00000158161.16,587,623,1081
ENSG00000238231.2,1,0,1
ENSG00000240750.3,5,0,10
ENSG00000228589.3,73,188,42
ENSG00000253005.1,0,0,1
ENSG00000169403.12,11,9,12
ENSG00000126698.11,1920,2067,1811
ENSG00000130770.18,1472,1429,1820
ENSG00000270605.1,90,57,40
ENSG00000271398.1,4,0,0
ENSG00000130766.5,589,1366,923
ENSG00000130772.14,251,298,424
ENSG00000204138.13,1049,1616,1622
ENSG00000229820.2,3,0,1
ENSG00000180198.16,1134,393,443
ENSG00000242125.3,821,558,193
ENSG00000200087.1,15,8,11
ENSG00000231468.2,0,6,2
ENSG00000279443.1,14,22,7
ENSG00000180098.9,474,283,277
ENSG00000197989.14,289,179,84
ENSG00000221539.1,1,3,1
ENSG00000120656.12,429,288,327
ENSG00000188060.7,41,39,74
ENSG00000229388.1,2,0,6
ENSG00000162419.12,313,332,482
ENSG00000198492.16,2001,2207,1981
ENSG00000116329.11,113,18,52
ENSG00000159023.21,2236,876,991
ENSG00000225616.2,1,0,0
ENSG00000277958.1,0,0,6
ENSG00000253304.2,787,293,179
ENSG00000225750.1,0,0,6
ENSG00000116350.17,2458,1495,1735
ENSG00000116353.16,644,421,454
ENSG00000237934.1,6,1,9
ENSG00000060656.20,1169,1482,1227
ENSG00000270927.1,1,0,0
ENSG00000236335.1,1,0,0
ENSG00000162510.6,12,11,19
ENSG00000186056.10,23,19,18
ENSG00000162511.8,43,11,0
ENSG00000223382.5,1,20,33
ENSG00000162512.16,3300,3516,6363
ENSG00000134644.16,3083,3150,4559
ENSG00000237329.2,0,1,0
ENSG00000084628.10,637,117,70
ENSG00000060688.13,872,504,569
ENSG00000229447.2,9,4,14
ENSG00000121766.16,610,513,678
ENSG00000229044.1,0,0,1
ENSG00000121769.8,998,2891,10384
ENSG00000168528.12,438,404,247
ENSG00000284543.1,0,9,1
ENSG00000229167.2,0,8,0
ENSG00000142910.16,99,6860,517
ENSG00000121764.11,5,4,4
ENSG00000162517.13,938,1143,1139
ENSG00000235790.7,15,22,25
ENSG00000264078.1,0,0,1
ENSG00000084636.18,213,1551,4152
ENSG00000121753.12,914,2310,6436
ENSG00000266580.1,0,1,0
ENSG00000254545.1,2,0,0
ENSG00000134668.12,87,71,27
ENSG00000269967.1,1,0,0
ENSG00000184007.22,3242,4546,5360
ENSG00000228634.1,5,0,5
ENSG00000284702.1,0,3,0
ENSG00000121774.18,5999,4373,4889
ENSG00000203325.3,1,0,7
ENSG00000121775.18,315,216,228
ENSG00000266203.1,1,0,0
ENSG00000025800.14,1592,2996,4527
ENSG00000084652.16,1325,1820,2396
ENSG00000160050.15,245,315,481
ENSG00000224066.1,9,8,4
ENSG00000160051.12,73,51,46
ENSG00000222046.2,27,7,22
ENSG00000160055.20,129,252,224
ENSG00000084623.11,2421,2882,2570
ENSG00000220785.7,310,53,97
ENSG00000183615.6,44,1,25
ENSG00000182866.17,0,14,3
ENSG00000116478.12,2076,1572,1705
ENSG00000175130.7,9886,9462,5948
ENSG00000162526.7,20,7,4
ENSG00000225828.1,154,85,80
ENSG00000160058.19,1621,1962,1848
ENSG00000273274.2,115,176,299
ENSG00000160062.15,288,281,620
ENSG00000176261.15,327,385,286
ENSG00000200591.1,4,0,5
ENSG00000162521.19,3665,3534,3828
ENSG00000162520.15,9,147,336
ENSG00000224409.1,0,1,0
ENSG00000162522.11,1756,3049,1763
ENSG00000134684.11,2195,3263,3167
ENSG00000116497.18,698,738,964
ENSG00000160097.19,292,191,910
ENSG00000121905.10,23,1,2
ENSG00000121900.19,263,24,99
ENSG00000287691.1,3,0,3
ENSG00000116514.16,293,484,529
ENSG00000278966.2,0,1,0
ENSG00000217644.5,0,0,3
ENSG00000239670.1,0,2,3
ENSG00000236065.2,0,0,3
ENSG00000004455.17,1852,1958,2007
ENSG00000276645.1,0,0,2
